transaction_id,date,category,product,revenue,cogs,region
TXN-00277,2023-02-23,Software,Product B,2085.95,841.79,North America
TXN-00278,2023-04-30,Electronics,Product B,1240.63,1708.04,APAC
TXN-00279,2023-06-10,Hardware,Product B,3378.3,1713.75,North America
TXN-00280,2023-04-26,Hardware,Product A,4139.02,207.48,EMEA
TXN-00281,2023-03-16,Electronics,Product C,3381.81,190.53,APAC
TXN-00282,2023-04-23,Software,Product B,4130.53,532.76,North America
TXN-00283,2023-04-14,Consulting,Product B,2015.11,1750.78,APAC
TXN-00284,2023-12-06,Consulting,Product C,823.77,266.52,North America
TXN-00285,2023-09-11,Electronics,Product A,3702.86,1442.79,EMEA
TXN-00286,2023-08-15,Consulting,Product C,1834.35,211.32,North America
TXN-00287,2023-04-22,Software,Product C,3372.79,1250.04,APAC
TXN-00288,2023-04-09,Software,Product B,1389.69,718.57,North America
TXN-00289,2023-06-02,Electronics,Product C,452.09,1579.94,APAC
TXN-00290,2023-12-15,Software,Product C,4963.28,475.04,EMEA
TXN-00291,2023-12-04,Hardware,Product B,823.2,1282.01,North America
TXN-00292,2023-07-13,Electronics,Product B,4942.68,479.01,APAC
TXN-00293,2023-11-06,Software,Product B,4887.54,1430.18,APAC
TXN-00294,2023-06-12,Electronics,Product B,3979.4,1748.62,APAC
TXN-00295,2023-07-27,Consulting,Product C,3314.14,262.34,North America
TXN-00296,2023-06-18,Software,Product C,2910.14,1734.53,North America
TXN-00297,2023-06-10,Hardware,Product A,4337.2,1191.21,North America
TXN-00298,2023-03-09,Software,Product A,1482.73,262.95,EMEA
TXN-00299,2023-10-16,Electronics,Product C,2365.02,860.81,APAC
TXN-00300,2023-10-04,Electronics,Product A,,330.11,
TXN-00301,2023-10-31,Software,Product C,2085.39,1403.69,EMEA
TXN-00302,2023-05-15,Hardware,Product A,2166.06,1520.15,EMEA
TXN-00303,2023-07-14,Hardware,Product B,1684.91,220.54,North America
TXN-00304,2023-05-08,Hardware,Product A,2842.95,1017.22,North America
TXN-00305,2023-02-02,Electronics,Product B,4260.34,1631.1,North America
TXN-00306,2023-06-25,Software,Product B,1047.57,1872.96,North America
TXN-00307,2023-01-22,Consulting,Product B,4675.44,1031.9,North America
TXN-00308,2023-08-26,Electronics,Product B,3460.98,1901.06,North America
TXN-00309,2023-06-07,Hardware,Product A,4125.2,1076.02,EMEA
TXN-00310,2023-02-07,Software,Product C,2803.14,794.44,EMEA
TXN-00311,2023-08-18,Hardware,Product B,3908.61,1697.92,EMEA
TXN-00312,2023-12-31,Consulting,Product A,130.19,991.04,APAC
TXN-00313,2023-02-20,Hardware,Product B,4100.98,949.09,APAC
TXN-00314,2023-09-21,Hardware,Product A,248.69,985.72,North America
TXN-00315,2023-10-10,Consulting,Product A,4455.07,1695.1,EMEA
TXN-00316,2023-01-27,Software,Product A,4960.22,1665.56,APAC
TXN-00317,2023-08-14,Electronics,Product C,1505.63,813.0,APAC
TXN-00318,2023-10-04,Software,Product A,1091.08,673.27,EMEA
TXN-00319,2023-10-13,Consulting,Product A,3838.55,988.94,APAC
TXN-00320,2023-04-07,Hardware,Product C,1302.48,1149.82,APAC
TXN-00321,2023-10-11,Software,Product C,4334.53,484.29,EMEA
TXN-00322,2023-11-13,Electronics,Product A,559.07,1589.97,APAC
TXN-00323,2023-10-31,Consulting,Product C,673.48,978.1,EMEA
TXN-00324,2023-05-27,Software,Product B,4896.8,674.75,APAC
TXN-00325,2023-01-04,Electronics,Product B,3385.5,222.57,EMEA
TXN-00326,2023-02-04,Consulting,Product C,4242.09,485.3,APAC
TXN-00327,2023-07-11,Electronics,Product C,1655.43,1899.07,APAC
TXN-00328,2023-02-18,Consulting,Product A,3398.59,617.15,EMEA
TXN-00329,2023-01-17,Hardware,Product C,2991.5,346.03,APAC
TXN-00330,2023-06-21,Software,Product A,3035.59,926.74,EMEA
TXN-00331,2023-08-08,Electronics,Product B,3428.54,621.1,EMEA
TXN-00332,2023-06-07,Consulting,Product C,2898.03,79.97,APAC
TXN-00333,2023-02-15,Electronics,Product A,2173.86,653.06,North America
TXN-00334,2023-01-06,Electronics,Product A,1415.82,1092.78,APAC
TXN-00335,2023-04-09,Software,Product B,3854.48,1107.91,North America
TXN-00336,2023-08-21,Hardware,Product C,1170.05,719.55,North America
TXN-00337,2023-02-06,Electronics,Product B,3477.15,900.13,APAC
TXN-00338,2023-10-07,Consulting,Product A,1205.0,1931.38,North America
TXN-00339,2023-12-15,Consulting,Product A,3145.38,760.92,EMEA
TXN-00340,2023-10-29,Hardware,Product C,3748.04,523.87,EMEA
TXN-00341,2023-06-30,Consulting,Product A,1132.63,494.5,North America
TXN-00342,2023-04-05,Hardware,Product C,346.72,920.95,EMEA
TXN-00343,2023-04-09,Consulting,Product B,698.32,1521.45,APAC
TXN-00344,2023-07-07,Software,Product C,3049.68,419.92,EMEA
TXN-00345,2023-04-26,Electronics,Product C,4254.76,1421.5,North America
TXN-00346,2023-07-10,Software,Product A,272.73,52.09,APAC
TXN-00347,2023-09-10,Electronics,Product A,3684.05,843.68,EMEA
TXN-00348,2023-06-10,Electronics,Product C,1739.53,1553.97,APAC
TXN-00349,2023-09-13,Electronics,Product A,2418.72,684.08,North America
TXN-00350,2023-11-19,Software,Product A,,1131.84,EMEA
TXN-00351,2023-05-08,Electronics,Product A,1693.26,417.91,APAC
TXN-00352,2023-01-18,Software,Product C,2353.42,1486.57,APAC
TXN-00353,2023-10-08,Hardware,Product A,117.73,114.04,EMEA
TXN-00354,2023-08-11,Consulting,Product C,453.91,1706.56,APAC
TXN-00355,2023-02-23,Consulting,Product A,1330.03,404.41,APAC
TXN-00356,2023-02-27,Electronics,Product B,187.87,1750.05,North America
TXN-00357,2023-11-19,Software,Product A,3175.31,711.53,North America
TXN-00358,2023-12-26,Consulting,Product A,2160.67,1448.14,North America
TXN-00359,2023-06-23,Software,Product C,2763.32,645.26,North America
TXN-00360,2023-10-07,Software,Product C,914.5,1812.76,North America
TXN-00361,2023-04-24,Electronics,Product A,1514.86,262.01,North America
TXN-00362,2023-10-15,Consulting,Product B,3335.93,365.25,EMEA
TXN-00363,2023-12-08,Electronics,Product A,4828.25,991.13,North America
TXN-00364,2023-05-31,Electronics,Product A,299.56,173.06,APAC
TXN-00365,2023-05-07,Consulting,Product B,4457.4,400.0,EMEA
TXN-00366,2023-06-04,Consulting,Product C,2905.56,1888.1,APAC
TXN-00367,2023-09-30,Hardware,Product A,2841.4,1953.21,North America
TXN-00368,2023-04-14,Hardware,Product C,2526.38,758.76,North America
TXN-00369,2023-10-26,Software,Product C,393.5,1847.34,APAC
TXN-00370,2023-09-03,Consulting,Product B,494.89,1094.2,APAC
TXN-00371,2023-06-25,Hardware,Product B,3024.51,546.79,APAC
TXN-00372,2023-02-08,Software,Product C,1737.74,1407.77,EMEA
TXN-00373,2023-06-19,Software,Product A,4590.48,1321.21,North America
TXN-00374,2023-09-04,Software,Product C,2062.62,1978.36,APAC
TXN-00375,2023-01-26,Hardware,Product A,759.24,537.44,North America
TXN-00376,2023-12-21,Consulting,Product A,3587.86,1347.4,APAC
TXN-00377,2023-11-02,Electronics,Product B,1502.1,113.53,North America
TXN-00378,2023-01-13,Software,Product A,2651.08,236.16,EMEA
TXN-00379,2023-11-12,Hardware,Product A,3504.27,17.8,North America
TXN-00380,2023-11-09,Hardware,Product C,4506.31,1998.93,APAC
TXN-00381,2023-02-05,Electronics,Product B,3971.35,1606.52,North America
TXN-00382,2023-06-22,Electronics,Product A,3397.99,1575.58,EMEA
TXN-00383,2023-01-20,Hardware,Product A,3414.18,1024.35,EMEA
TXN-00384,2023-11-17,Consulting,Product B,4732.33,607.13,North America
TXN-00385,2023-09-21,Electronics,Product C,1514.33,311.02,APAC
TXN-00386,2023-05-22,Hardware,Product B,55.5,576.5,EMEA
TXN-00387,2023-05-23,Electronics,Product B,1396.18,758.18,EMEA
TXN-00388,2023-04-02,Consulting,Product A,1128.56,1515.06,North America
TXN-00389,2023-12-20,Software,Product A,3326.08,1083.93,EMEA
TXN-00390,2023-11-18,Electronics,Product C,3186.87,164.19,EMEA
