transaction_id,date,category,product,revenue,cogs,region,gross_profit,net_profit,net_margin
TXN-00029,2023-02-18,Hardware,Product B,1752.59,521.73,North America,1230.86,880.3419999999999,0.5023
TXN-00030,2023-02-28,Software,Product A,3678.35,1441.58,APAC,2236.77,1501.1,0.4081
TXN-00031,2023-06-19,Hardware,Product A,3310.37,65.96,North America,3244.41,2582.336,0.7801
TXN-00032,2023-07-07,Electronics,Product B,4661.2,756.89,EMEA,3904.31,2972.0699999999997,0.6376
TXN-00033,2023-09-28,Software,Product A,4113.86,1257.24,EMEA,2856.62,2033.848,0.4944
TXN-00034,2023-07-09,Hardware,Product C,2854.7,300.73,APAC,2553.97,1983.0299999999997,0.6947
TXN-00035,2023-06-24,Consulting,Product C,3302.3,1647.78,APAC,1654.5200000000002,994.0600000000002,0.301
TXN-00036,2023-02-20,Consulting,Product B,4497.01,477.71,North America,4019.3,3119.898,0.6938
TXN-00037,2023-12-30,Software,Product B,2027.62,1308.04,North America,719.5799999999999,314.0559999999999,0.1549
TXN-00038,2023-02-24,Software,Product A,1667.63,816.34,APAC,851.2900000000001,517.764,0.3105
TXN-00039,2023-09-01,Electronics,Product A,103.51,1196.13,APAC,-1092.6200000000001,-1113.3220000000001,-10.7557
TXN-00040,2023-11-16,Software,Product A,4141.43,223.83,EMEA,3917.6000000000004,3089.3140000000003,0.746
TXN-00041,2023-05-11,Electronics,Product A,4014.85,43.66,EMEA,3971.19,3168.2200000000003,0.7891
TXN-00042,2023-11-03,Electronics,Product C,567.05,1820.03,North America,-1252.98,-1366.39,-2.4096
TXN-00043,2023-05-15,Consulting,Product C,2905.44,546.56,EMEA,2358.88,1777.792,0.6119
TXN-00044,2023-01-21,Consulting,Product B,2346.71,1641.16,North America,705.55,236.2079999999999,0.1007
TXN-00045,2023-11-25,Hardware,Product A,637.61,1998.71,North America,-1361.1,-1488.6219999999998,-2.3347
TXN-00046,2023-06-16,Consulting,Product A,4903.81,430.75,North America,4473.06,3492.2980000000002,0.7122
TXN-00047,2023-10-01,Consulting,Product B,1112.74,537.69,EMEA,575.05,352.50199999999995,0.3168
TXN-00048,2023-03-30,Software,Product A,382.81,1329.09,APAC,-946.28,-1022.842,-2.6719
TXN-00049,2023-11-12,Consulting,Product A,2994.49,1931.24,APAC,1063.2499999999998,464.35199999999975,0.1551
TXN-00050,2023-01-14,Hardware,Product A,0.0,1832.47,EMEA,-1832.47,-1832.47,0.0
TXN-00051,2023-08-30,Software,Product A,210.6,1010.72,APAC,-800.12,-842.24,-3.9992
TXN-00052,2023-09-22,Hardware,Product A,3310.65,1592.27,North America,1718.38,1056.25,0.319
TXN-00053,2023-12-12,Consulting,Product B,2684.84,280.13,APAC,2404.71,1867.742,0.6957
TXN-00054,2023-02-22,Hardware,Product A,561.16,1955.1,EMEA,-1393.94,-1506.172,-2.684
TXN-00055,2023-12-06,Software,Product B,903.99,1929.06,APAC,-1025.07,-1205.868,-1.3339
TXN-00056,2023-04-02,Electronics,Product A,2861.47,335.82,North America,2525.6499999999996,1953.3559999999998,0.6826
TXN-00057,2023-09-21,Hardware,Product C,1516.97,605.85,North America,911.12,607.726,0.4006
TXN-00058,2023-02-04,Hardware,Product C,4694.66,209.31,EMEA,4485.349999999999,3546.4179999999997,0.7554
TXN-00059,2023-07-25,Software,Product C,4102.76,550.72,EMEA,3552.04,2731.488,0.6658
TXN-00060,2023-03-22,Software,Product C,4918.66,1633.75,EMEA,3284.91,2301.178,0.4678
TXN-00061,2023-02-19,Hardware,Product B,1335.37,762.85,North America,572.5199999999999,305.44599999999986,0.2287
TXN-00062,2023-12-26,Consulting,Product B,4850.13,185.91,APAC,4664.22,3694.1940000000004,0.7617
TXN-00063,2023-01-02,Hardware,Product A,2184.61,691.03,APAC,1493.5800000000002,1056.6580000000001,0.4837
TXN-00064,2023-02-23,Software,Product C,1770.22,1962.95,EMEA,-192.73000000000002,-546.7740000000001,-0.3089
TXN-00065,2023-04-16,Electronics,Product B,299.23,1263.07,APAC,-963.8399999999999,-1023.6859999999999,-3.4211
TXN-00066,2023-09-17,Electronics,Product A,311.19,838.16,APAC,-526.97,-589.2080000000001,-1.8934
TXN-00067,2023-11-06,Consulting,Product A,3475.46,341.41,EMEA,3134.05,2438.958,0.7018
TXN-00068,2023-07-10,Hardware,Product B,2316.75,1972.49,EMEA,344.26,-119.09000000000003,-0.0514
TXN-00069,2023-08-06,Electronics,Product C,1171.28,1643.49,North America,-472.21000000000004,-706.466,-0.6032
TXN-00070,2023-02-13,Hardware,Product A,3089.15,570.14,North America,2519.01,1901.1800000000003,0.6154
TXN-00071,2023-06-11,Software,Product C,1301.65,149.44,North America,1152.21,891.88,0.6852
TXN-00072,2023-07-21,Electronics,Product C,2909.28,122.68,North America,2786.6000000000004,2204.744,0.7578
TXN-00073,2023-09-27,Consulting,Product C,1828.08,249.55,APAC,1578.53,1212.914,0.6635
TXN-00074,2023-12-17,Software,Product A,4126.58,1165.73,APAC,2960.85,2135.5339999999997,0.5175
TXN-00075,2023-10-31,Consulting,Product C,4112.45,1858.24,North America,2254.21,1431.72,0.3481
TXN-00076,2023-09-28,Software,Product A,2412.88,998.52,North America,1414.3600000000001,931.7840000000001,0.3862
TXN-00077,2023-08-03,Electronics,Product C,1786.55,1687.46,EMEA,99.08999999999992,-258.2200000000001,-0.1445
TXN-00078,2023-09-09,Consulting,Product A,1844.67,897.31,APAC,947.3600000000001,578.4260000000002,0.3136
TXN-00079,2023-07-09,Consulting,Product C,4038.29,1420.08,APAC,2618.21,1810.5520000000001,0.4483
TXN-00080,2023-10-23,Software,Product B,1674.49,1466.43,North America,208.05999999999995,-126.83800000000008,-0.0757
TXN-00081,2023-08-01,Consulting,Product C,1084.84,356.19,APAC,728.6499999999999,511.6819999999999,0.4717
TXN-00082,2023-07-27,Software,Product C,469.21,728.82,EMEA,-259.61000000000007,-353.45200000000006,-0.7533
TXN-00083,2023-08-25,Software,Product A,2360.13,1278.23,EMEA,1081.9,609.874,0.2584
TXN-00084,2023-12-04,Software,Product A,2436.55,150.69,APAC,2285.86,1798.5500000000002,0.7382
TXN-00085,2023-02-22,Software,Product C,4212.5,729.46,North America,3483.04,2640.54,0.6268
TXN-00086,2023-10-07,Electronics,Product B,1145.13,1074.25,APAC,70.88000000000011,-158.14599999999993,-0.1381
TXN-00087,2023-08-05,Software,Product B,1935.91,1992.49,EMEA,-56.57999999999993,-443.76199999999994,-0.2292
TXN-00088,2023-09-09,Hardware,Product A,4051.61,954.32,North America,3097.29,2286.968,0.5645
TXN-00089,2023-07-07,Consulting,Product B,4126.94,1633.95,APAC,2492.99,1667.6019999999999,0.4041
TXN-00090,2023-02-10,Hardware,Product C,1953.82,869.81,North America,1084.01,693.246,0.3548
TXN-00091,2023-06-06,Electronics,Product A,2322.66,1594.82,North America,727.8399999999999,263.30799999999994,0.1134
TXN-00092,2023-01-15,Hardware,Product C,1551.27,1194.88,EMEA,356.3899999999999,46.135999999999854,0.0297
TXN-00093,2023-10-28,Consulting,Product A,4666.15,1774.32,North America,2891.83,1958.6,0.4197
TXN-00094,2023-03-06,Hardware,Product A,637.29,827.78,APAC,-190.49,-317.948,-0.4989
TXN-00095,2023-12-11,Electronics,Product A,4672.06,1212.57,North America,3459.4900000000007,2525.0780000000004,0.5405
TXN-00096,2023-11-23,Software,Product A,3435.14,1263.74,North America,2171.3999999999996,1484.3719999999996,0.4321
TXN-00097,2023-01-09,Hardware,Product B,2681.28,840.59,APAC,1840.69,1304.434,0.4865
TXN-00098,2023-12-10,Electronics,Product C,211.66,297.18,EMEA,-85.52000000000001,-127.852,-0.604
TXN-00099,2023-05-09,Electronics,Product C,2404.2,196.18,EMEA,2208.02,1727.18,0.7184
TXN-00100,2023-05-16,Consulting,Product C,0.0,43.18,Unknown,-43.18,-43.18,0.0
TXN-00101,2023-03-04,Consulting,Product A,848.03,1748.33,APAC,-900.3,-1069.906,-1.2616
TXN-00102,2023-05-19,Hardware,Product B,3299.23,480.59,EMEA,2818.64,2158.794,0.6543
TXN-00103,2023-03-22,Software,Product C,4857.2,430.9,North America,4426.3,3454.86,0.7113
TXN-00104,2023-06-12,Electronics,Product B,2832.83,1474.71,APAC,1358.12,791.5539999999999,0.2794
TXN-00105,2023-10-16,Hardware,Product A,3588.03,646.83,North America,2941.2000000000003,2223.594,0.6197
TXN-00106,2023-09-18,Electronics,Product C,388.83,1017.03,APAC,-628.2,-705.966,-1.8156
TXN-00107,2023-08-19,Electronics,Product B,2117.45,333.4,EMEA,1784.0499999999997,1360.5599999999997,0.6425
TXN-00108,2023-02-10,Software,Product A,625.97,1919.89,North America,-1293.92,-1419.114,-2.2671
TXN-00109,2023-01-28,Software,Product B,3083.34,1704.65,North America,1378.69,762.0219999999999,0.2471
TXN-00110,2023-05-15,Hardware,Product C,4695.49,1728.94,APAC,2966.5499999999997,2027.4519999999998,0.4318
TXN-00111,2023-07-20,Software,Product C,3325.8,819.48,North America,2506.32,1841.16,0.5536
TXN-00112,2023-11-24,Software,Product A,430.18,1527.1,APAC,-1096.9199999999998,-1182.956,-2.7499
TXN-00113,2023-09-25,Hardware,Product A,1805.6,296.31,EMEA,1509.29,1148.17,0.6359
TXN-00114,2023-02-02,Software,Product A,2775.78,27.15,North America,2748.63,2193.474,0.7902
TXN-00115,2023-02-17,Consulting,Product B,2045.88,49.75,APAC,1996.13,1586.9540000000002,0.7757
TXN-00116,2023-03-03,Electronics,Product B,4176.54,1177.34,North America,2999.2,2163.892,0.5181
TXN-00117,2023-08-04,Electronics,Product B,4082.62,916.24,APAC,3166.38,2349.856,0.5756
TXN-00118,2023-10-20,Electronics,Product A,3078.56,1040.85,APAC,2037.71,1421.998,0.4619
TXN-00119,2023-04-09,Electronics,Product C,1898.62,24.85,APAC,1873.77,1494.046,0.7869
TXN-00120,2023-06-21,Hardware,Product C,1313.92,851.15,EMEA,462.7700000000001,199.98600000000005,0.1522
TXN-00121,2023-12-26,Electronics,Product B,574.08,1438.96,North America,-864.88,-979.696,-1.7065
TXN-00122,2023-08-02,Electronics,Product B,1806.74,890.96,EMEA,915.78,554.432,0.3069
TXN-00123,2023-02-04,Electronics,Product C,2095.2,1467.12,APAC,628.0799999999999,209.03999999999996,0.0998
TXN-00124,2023-08-15,Electronics,Product C,3395.32,473.71,APAC,2921.61,2242.5460000000003,0.6605
TXN-00125,2023-04-11,Consulting,Product B,3307.89,1628.15,EMEA,1679.7399999999998,1018.1619999999998,0.3078
TXN-00126,2023-05-11,Electronics,Product B,397.04,1180.98,EMEA,-783.94,-863.3480000000001,-2.1745
TXN-00127,2023-09-14,Consulting,Product C,2006.53,429.42,North America,1577.11,1175.8039999999999,0.586
TXN-00128,2023-01-05,Hardware,Product A,949.81,481.07,APAC,468.73999999999995,278.77799999999996,0.2935
TXN-00129,2023-08-06,Software,Product B,826.22,1259.78,EMEA,-433.55999999999995,-598.804,-0.7248
TXN-00130,2023-09-12,Electronics,Product C,4145.15,1661.58,APAC,2483.5699999999997,1654.5399999999997,0.3992
TXN-00131,2023-12-25,Software,Product C,257.48,837.1,APAC,-579.62,-631.116,-2.4511
TXN-00132,2023-10-10,Software,Product C,2124.96,524.02,North America,1600.94,1175.948,0.5534
TXN-00133,2023-07-26,Hardware,Product C,882.61,1735.35,North America,-852.7399999999999,-1029.262,-1.1662
TXN-00134,2023-01-15,Software,Product A,4402.68,1341.84,North America,3060.84,2180.304,0.4952
TXN-00135,2023-12-12,Consulting,Product C,2807.35,901.69,EMEA,1905.6599999999999,1344.1899999999998,0.4788
TXN-00136,2023-02-11,Software,Product B,1195.33,980.92,APAC,214.40999999999997,-24.656000000000034,-0.0206
TXN-00137,2023-06-28,Software,Product A,2537.02,416.47,EMEA,2120.55,1613.1460000000002,0.6358
TXN-00138,2023-03-04,Software,Product C,3670.86,1257.34,EMEA,2413.5200000000004,1679.3480000000004,0.4575
TXN-00139,2023-12-18,Electronics,Product A,4792.68,723.9,North America,4068.78,3110.244,0.649
TXN-00140,2023-08-19,Electronics,Product B,1141.21,1991.33,APAC,-850.1199999999999,-1078.3619999999999,-0.9449
TXN-00141,2023-08-29,Consulting,Product C,4436.6,965.57,APAC,3471.03,2583.71,0.5824
TXN-00142,2023-02-21,Consulting,Product B,4674.81,976.91,North America,3697.9000000000005,2762.9380000000006,0.591
TXN-00143,2023-04-06,Electronics,Product C,4586.28,1136.05,APAC,3450.2299999999996,2532.9739999999997,0.5523
TXN-00144,2023-08-10,Consulting,Product C,3195.3,1834.34,North America,1360.9600000000003,721.9000000000002,0.2259
TXN-00145,2023-08-19,Electronics,Product C,3167.61,1603.63,EMEA,1563.98,930.458,0.2937
TXN-00146,2023-08-25,Hardware,Product C,2045.89,907.75,EMEA,1138.14,728.962,0.3563
TXN-00147,2023-05-23,Software,Product C,3774.37,1440.21,North America,2334.16,1579.2859999999998,0.4184
TXN-00148,2023-06-20,Software,Product A,2679.91,1176.61,EMEA,1503.3,967.318,0.361
TXN-00149,2023-01-29,Consulting,Product C,3403.32,989.81,EMEA,2413.51,1732.846,0.5092
TXN-00150,2023-02-05,Electronics,Product C,0.0,392.71,North America,-392.71,-392.71,0.0
TXN-00151,2023-01-13,Electronics,Product A,3670.91,933.23,EMEA,2737.68,2003.4979999999998,0.5458
TXN-00152,2023-06-09,Consulting,Product A,4131.13,499.18,APAC,3631.9500000000003,2805.724,0.6792
TXN-00153,2023-11-23,Electronics,Product A,774.86,1830.54,EMEA,-1055.6799999999998,-1210.6519999999998,-1.5624
TXN-00154,2023-07-06,Hardware,Product A,4173.0,677.46,North America,3495.54,2660.94,0.6377
TXN-00155,2023-08-31,Software,Product A,2724.47,1905.01,APAC,819.4599999999998,274.5659999999998,0.1008
TXN-00156,2023-03-27,Consulting,Product A,4231.1,1070.78,APAC,3160.3200000000006,2314.1000000000004,0.5469
TXN-00157,2023-10-11,Consulting,Product C,2184.94,1266.77,EMEA,918.1700000000001,481.182,0.2202
TXN-00158,2023-03-07,Electronics,Product C,1926.25,1090.45,APAC,835.8,450.54999999999995,0.2339
TXN-00159,2023-06-19,Consulting,Product B,4579.55,267.47,North America,4312.08,3396.17,0.7416
TXN-00160,2023-02-14,Hardware,Product C,1293.29,757.88,APAC,535.41,276.75199999999995,0.214
TXN-00161,2023-03-03,Electronics,Product C,4228.85,207.3,EMEA,4021.55,3175.78,0.751
TXN-00162,2023-05-14,Electronics,Product A,2445.9,1249.68,EMEA,1196.22,707.04,0.2891
TXN-00163,2023-10-11,Electronics,Product A,2594.77,899.28,APAC,1695.49,1176.536,0.4534
TXN-00164,2023-01-28,Electronics,Product C,1576.92,1558.19,North America,18.730000000000018,-296.654,-0.1881
TXN-00165,2023-04-18,Hardware,Product B,2886.56,448.74,North America,2437.8199999999997,1860.5079999999998,0.6445
TXN-00166,2023-02-13,Electronics,Product A,1659.8,337.49,EMEA,1322.31,990.3499999999999,0.5967
TXN-00167,2023-12-06,Consulting,Product C,244.38,818.6,EMEA,-574.22,-623.096,-2.5497
TXN-00168,2023-10-13,Hardware,Product C,1396.39,1853.9,North America,-457.51,-736.788,-0.5276
TXN-00169,2023-11-27,Software,Product B,81.58,1423.74,APAC,-1342.16,-1358.476,-16.6521
TXN-00170,2023-05-08,Software,Product B,4892.86,843.66,APAC,4049.2,3070.6279999999997,0.6276
TXN-00171,2023-12-14,Consulting,Product A,4830.45,1039.37,APAC,3791.08,2824.99,0.5848
TXN-00172,2023-08-19,Consulting,Product B,2006.02,177.58,APAC,1828.44,1427.236,0.7115
TXN-00173,2023-07-09,Hardware,Product C,3655.44,1969.31,North America,1686.13,955.042,0.2613
TXN-00174,2023-08-13,Software,Product C,1761.74,1336.15,EMEA,425.5899999999999,73.2419999999999,0.0416
TXN-00175,2023-10-10,Software,Product B,3371.91,577.95,EMEA,2793.96,2119.578,0.6286
TXN-00176,2023-05-01,Software,Product B,4036.88,1175.76,APAC,2861.12,2053.7439999999997,0.5087
TXN-00177,2023-04-26,Software,Product B,4736.44,227.87,North America,4508.57,3561.2819999999997,0.7519
TXN-00178,2023-08-21,Software,Product B,2031.05,1932.01,North America,99.03999999999996,-307.1700000000001,-0.1512
TXN-00179,2023-09-16,Electronics,Product A,3927.33,357.82,APAC,3569.5099999999998,2784.044,0.7089
TXN-00180,2023-12-25,Consulting,Product B,1366.35,1299.58,APAC,66.76999999999998,-206.5,-0.1511
TXN-00181,2023-07-17,Electronics,Product A,4952.14,498.45,APAC,4453.6900000000005,3463.2620000000006,0.6993
TXN-00182,2023-05-17,Software,Product C,177.56,1437.95,EMEA,-1260.39,-1295.902,-7.2984
TXN-00183,2023-11-14,Hardware,Product B,3037.47,1555.87,APAC,1481.6,874.1059999999999,0.2878
TXN-00184,2023-06-14,Hardware,Product A,3314.55,1350.11,EMEA,1964.4400000000003,1301.5300000000002,0.3927
TXN-00185,2023-08-13,Software,Product B,3455.83,1232.85,North America,2222.98,1531.8139999999999,0.4433
TXN-00186,2023-11-03,Software,Product C,645.92,1786.01,North America,-1140.0900000000001,-1269.2740000000001,-1.9651
TXN-00187,2023-08-22,Hardware,Product C,4695.72,166.47,EMEA,4529.25,3590.1059999999998,0.7645
TXN-00188,2023-06-21,Electronics,Product C,946.86,668.52,EMEA,278.34000000000003,88.96800000000002,0.094
TXN-00189,2023-06-01,Electronics,Product B,3132.63,504.09,EMEA,2628.54,2002.014,0.6391
TXN-00190,2023-11-11,Software,Product B,1152.25,1976.15,EMEA,-823.9000000000001,-1054.3500000000001,-0.915
TXN-00191,2023-06-09,Electronics,Product A,1570.72,784.89,APAC,785.83,471.68600000000004,0.3003
TXN-00192,2023-04-06,Hardware,Product C,2754.97,1467.9,North America,1287.0699999999997,736.0759999999997,0.2672
TXN-00193,2023-08-21,Electronics,Product B,2115.11,1372.6,APAC,742.5100000000002,319.48800000000017,0.1511
TXN-00194,2023-06-29,Software,Product C,843.12,432.04,EMEA,411.08,242.45599999999996,0.2876
TXN-00195,2023-04-23,Hardware,Product C,896.14,485.61,APAC,410.53,231.30199999999996,0.2581
TXN-00196,2023-11-14,Electronics,Product A,2119.82,569.76,APAC,1550.0600000000002,1126.096,0.5312
TXN-00197,2023-02-21,Consulting,Product A,3798.55,828.14,North America,2970.4100000000003,2210.7000000000003,0.582
TXN-00198,2023-09-25,Hardware,Product A,4494.93,476.31,APAC,4018.6200000000003,3119.634,0.694
TXN-00199,2023-10-22,Hardware,Product A,466.43,49.11,North America,417.32,324.034,0.6947
TXN-00200,2023-04-23,Consulting,Product C,0.0,1759.99,Unknown,-1759.99,-1759.99,0.0
TXN-00201,2023-04-11,Consulting,Product A,546.22,1931.56,APAC,-1385.34,-1494.5839999999998,-2.7362
TXN-00202,2023-04-23,Hardware,Product A,132.13,689.73,EMEA,-557.6,-584.0260000000001,-4.4201
TXN-00203,2023-03-22,Consulting,Product A,3325.51,683.63,North America,2641.88,1976.778,0.5944
TXN-00204,2023-07-06,Software,Product A,3032.12,24.11,EMEA,3008.0099999999998,2401.586,0.792
TXN-00205,2023-04-23,Software,Product C,856.94,1363.7,EMEA,-506.76,-678.148,-0.7914
TXN-00206,2023-01-02,Software,Product A,1207.37,1652.63,North America,-445.2600000000002,-686.7340000000002,-0.5688
TXN-00207,2023-05-10,Hardware,Product C,167.35,301.75,EMEA,-134.4,-167.87,-1.0031
TXN-00208,2023-08-08,Consulting,Product B,4182.99,327.74,EMEA,3855.25,3018.652,0.7216
TXN-00209,2023-02-23,Consulting,Product C,4874.72,1582.27,EMEA,3292.4500000000003,2317.5060000000003,0.4754
TXN-00210,2023-12-09,Electronics,Product C,720.52,1236.42,APAC,-515.9000000000001,-660.0040000000001,-0.916
TXN-00211,2023-08-12,Electronics,Product A,1195.8,99.27,EMEA,1096.53,857.37,0.717
TXN-00212,2023-08-13,Consulting,Product B,4348.63,1248.87,North America,3099.76,2230.034,0.5128
TXN-00213,2023-05-06,Consulting,Product B,4636.0,624.75,APAC,4011.25,3084.05,0.6652
TXN-00214,2023-05-10,Consulting,Product B,2127.16,743.76,APAC,1383.3999999999999,957.9679999999998,0.4504
TXN-00215,2023-02-22,Hardware,Product B,300.58,1541.77,North America,-1241.19,-1301.306,-4.3293
TXN-00216,2023-06-21,Consulting,Product C,244.99,1623.76,EMEA,-1378.77,-1427.768,-5.8279
TXN-00217,2023-08-06,Electronics,Product B,2891.05,806.71,APAC,2084.34,1506.13,0.521
TXN-00218,2023-06-09,Hardware,Product C,1994.83,1894.83,APAC,100.0,-298.966,-0.1499
TXN-00219,2023-07-17,Consulting,Product C,191.83,818.86,APAC,-627.03,-665.396,-3.4687
TXN-00220,2023-09-04,Electronics,Product C,2937.1,1545.95,EMEA,1391.1499999999999,803.7299999999999,0.2736
TXN-00221,2023-11-20,Hardware,Product B,105.95,972.92,APAC,-866.9699999999999,-888.16,-8.3828
TXN-00222,2023-07-22,Consulting,Product A,3947.49,1796.09,North America,2151.3999999999996,1361.9019999999996,0.345
TXN-00223,2023-07-03,Consulting,Product A,1566.84,1816.44,EMEA,-249.60000000000014,-562.9680000000001,-0.3593
TXN-00224,2023-05-03,Consulting,Product B,249.28,183.96,North America,65.32,15.463999999999992,0.062
TXN-00225,2023-09-12,Hardware,Product A,2962.34,1873.62,North America,1088.7200000000003,496.2520000000002,0.1675
TXN-00226,2023-10-21,Electronics,Product A,2018.54,1652.81,APAC,365.73,-37.97800000000001,-0.0188
TXN-00227,2023-10-07,Electronics,Product C,4870.31,1584.71,APAC,3285.6000000000004,2311.5380000000005,0.4746
TXN-00228,2023-11-21,Software,Product C,2743.78,409.81,APAC,2333.9700000000003,1785.2140000000002,0.6506
TXN-00229,2023-04-08,Consulting,Product B,1412.43,1612.19,North America,-199.76,-482.24600000000004,-0.3414
TXN-00230,2023-07-17,Software,Product B,3561.72,1701.76,EMEA,1859.9599999999998,1147.6159999999998,0.3222
TXN-00231,2023-08-28,Software,Product A,1393.89,585.41,APAC,808.4800000000001,529.7020000000001,0.38
TXN-00232,2023-05-24,Electronics,Product C,4526.0,1905.0,APAC,2621.0,1715.8,0.3791
TXN-00233,2023-04-07,Hardware,Product B,1904.87,109.22,North America,1795.6499999999999,1414.676,0.7427
TXN-00234,2023-07-20,Hardware,Product B,2771.85,308.32,EMEA,2463.5299999999997,1909.1599999999999,0.6888
TXN-00235,2023-05-04,Electronics,Product B,300.34,1079.79,North America,-779.45,-839.518,-2.7952
TXN-00236,2023-07-06,Hardware,Product B,2159.3,1155.83,APAC,1003.4700000000003,571.6100000000001,0.2647
TXN-00237,2023-11-22,Software,Product B,4170.2,1293.85,North America,2876.35,2042.31,0.4897
TXN-00238,2023-12-15,Consulting,Product B,4037.96,43.77,APAC,3994.19,3186.598,0.7892
TXN-00239,2023-09-16,Electronics,Product A,1160.38,1921.13,EMEA,-760.75,-992.826,-0.8556
TXN-00240,2023-05-28,Consulting,Product C,1169.09,98.73,North America,1070.36,836.5419999999999,0.7155
TXN-00241,2023-09-09,Hardware,Product C,4095.66,294.69,APAC,3800.97,2981.8379999999997,0.728
TXN-00242,2023-12-12,Consulting,Product B,4655.47,37.89,APAC,4617.58,3686.486,0.7919
TXN-00243,2023-05-27,Hardware,Product C,522.04,1138.05,APAC,-616.01,-720.418,-1.38
TXN-00244,2023-05-28,Hardware,Product C,2277.79,1865.21,APAC,412.5799999999999,-42.978000000000065,-0.0189
TXN-00245,2023-12-18,Software,Product C,1720.4,1335.23,North America,385.1700000000001,41.09000000000003,0.0239
TXN-00246,2023-07-18,Hardware,Product B,4359.91,1647.09,APAC,2712.8199999999997,1840.8379999999997,0.4222
TXN-00247,2023-11-04,Software,Product B,463.45,36.43,North America,427.02,334.33,0.7214
TXN-00248,2023-05-08,Software,Product C,1095.07,1088.61,APAC,6.460000000000036,-212.55399999999997,-0.1941
TXN-00249,2023-02-08,Software,Product C,3774.72,924.53,North America,2850.1899999999996,2095.2459999999996,0.5551
TXN-00250,2023-12-04,Electronics,Product B,0.0,1002.95,North America,-1002.95,-1002.95,0.0
TXN-00251,2023-12-26,Electronics,Product A,2488.05,153.7,APAC,2334.3500000000004,1836.7400000000002,0.7382
TXN-00252,2023-05-09,Hardware,Product C,2238.43,1372.03,APAC,866.3999999999999,418.7139999999999,0.1871
TXN-00253,2023-09-24,Software,Product A,1705.29,1011.41,APAC,693.88,352.822,0.2069
TXN-00254,2023-05-31,Electronics,Product C,2003.13,1532.65,APAC,470.48,69.85399999999998,0.0349
TXN-00255,2023-10-25,Software,Product A,2673.21,975.73,EMEA,1697.48,1162.838,0.435
